"EntityName"	"DepartmentSubdivision"	"count"	"medianOT"	"medianTotalPay"
"All Counties"	"Health Prot CSA VC-1984-1"	27	795	67859
"All Counties"	"Health Protection CSA L-1991-1"	11	0	78280
"All Counties"	"HRS-Conference Center"	9	0	71331
"All Counties"	"Human Resource Services"	66	0	54168.5
"All Counties"	"Information Technology"	185	0	94463
"All Counties"	"Injury Prevention"	5	0	50282
"All Counties"	"Janitorial Services"	122	1618.5	42409.5
"All Counties"	"Juv Field-Juvenile Svcs"	114	0	80234
"All Counties"	"Juv Field -TANF"	1	0	61205
"All Counties"	"Juv Inst-Administration"	17	5008	44890
"All Counties"	"Juv Inst-Camp Sweeney"	28	4403	81185
"All Counties"	"Juv Inst-Juvenile Hall"	207	12016	75503
"All Counties"	"Labor Relations"	10	0	55888.5
"All Counties"	"Law Enf-Consolidated Dispatch"	32	10420	83822.5
"All Counties"	"Law Enf-Dublin Services"	55	20632	127555
"All Counties"	"Law Enf-ETS"	205	20496	120679
"All Counties"	"Maintenance and Operations"	138	194.5	67620
"All Counties"	"Management Services"	58	0	41767.5
"All Counties"	"Medical Services Program Admin"	61	0	61333
"All Counties"	"Motor Pool"	21	0	58193
"All Counties"	"Planning Comm-Adm"	39	0	68189
"All Counties"	"Port of Oakland"	79	13762	80734
"All Counties"	"Probation-Administration"	63	0	64702
"All Counties"	"Probation-Adult"	147	0	85884
"All Counties"	"Probt Grants"	31	0	86371
"All Counties"	"Pub Hlth-Communicable Disease"	61	0	57908
"All Counties"	"Pub Hlth-HIV-AIDS Services"	14	0	75973.5
"All Counties"	"Public Defender"	168	0	112541.5
"All Counties"	"Public Health-Famil Health Svs"	209	0	57407
"All Counties"	"Public Health-Field Services"	56	0	82695.5
"All Counties"	"Public Health Administration"	78	0	75587.5
"All Counties"	"Public Health Grants"	1	0	25982
"All Counties"	"Public Health Project Grants"	125	0	51610
"All Counties"	"Public Hlth-Community Hlth Svs"	46	0	61222
"All Counties"	"RDA Successor Agency"	7	0	79910
"All Counties"	"Registrar of Voters"	31	0	50738
"All Counties"	"Risk Management"	12	0	91764.5
"All Counties"	"RTC"	85	0	32069
"All Counties"	"Sheriff's-Administration"	104	0	64485.5
"All Counties"	"Sheriff's-CIB"	11	10137	68149
"All Counties"	"Sheriff's -Contracts"	78	15623.5	117079.5
"All Counties"	"Step Up Program"	3	0	37211
"All Counties"	"Superior Court Judges"	77	0	10248
"All Counties"	"Supervisorial District No. 1"	8	0	75916.5
"All Counties"	"Supervisorial District No. 2"	7	0	63571
"All Counties"	"Supervisorial District No. 3"	7	0	69827
"All Counties"	"Supervisorial District No. 4"	9	0	73614
"All Counties"	"Supervisorial District No. 5"	7	0	90065
"All Counties"	"Surplus Property Authority"	1	0	164394
"All Counties"	"TAP Program"	557	0	16992
"All Counties"	"Technical Service Division"	28	0	91299.5
"All Counties"	"Treasurer Tax-Collector"	59	0	57234
"All Counties"	"Unemployment Insurance"	1	0	79202
"All Counties"	"Warrants Rec and Crime Analys"	17	4520	59935
"All Counties"	"Weapons Screening"	48	0	37598
"All Counties"	"Welfare Fraud Investigation"	13	0	81436
"All Counties"	"Welfare to Work"	539	0	48609
"All Counties"	"Workforce and Resource Dev"	255	0	55452
"All Counties"	"Workforce Invest Board Grant"	20	0	67326.5
"All Counties"	"Assessor"	3	0	54991
"All Counties"	"Auditor"	4	0	68545
"All Counties"	"Behavioral Health"	9	0	43284
"All Counties"	"Board of Supervisors"	9	0	23642
"All Counties"	"Community Development"	23	0	38178
"All Counties"	"County Clerk"	2	0	66766
"All Counties"	"County Counsel"	1	0	36943
"All Counties"	"District Attorney"	3	0	43950
"All Counties"	"Eastern Alpine Fire Dept"	1	0	84539
"All Counties"	"Health & Human Services"	16	0	47457
"All Counties"	"Human Resources"	1	0	60043
"All Counties"	"Library"	5	0	20275
"All Counties"	"Museum"	2	0	11088
"All Counties"	"Planning Commission"	4	0	960
"All Counties"	"Probation"	1	0	38888
"All Counties"	"Recorder"	1	0	44206
"All Counties"	"School Board"	5	0	2016
"All Counties"	"Sheriff/Coroner"	17	9183	78389
"All Counties"	"Treasurer/Tax Collector/Recorder"	1	0	51383
"All Counties"	"Administrative Officer"	4	0	60459
"All Counties"	"Ag Commissioner-Sealer"	5	0	65379
"All Counties"	"Airport"	1	0	77570
"All Counties"	"Amador Air District"	2	0	56030.5
"All Counties"	"Amador Fire Protection"	1	0	48704
"All Counties"	"Animal Control"	8	855.5	43546.5
"All Counties"	"Assessor"	12	0	58829.5
"All Counties"	"Auditor Controller"	8	0	48585
"All Counties"	"Board of Supervisors"	7	0	67832
"All Counties"	"Building Department"	5	0	52293
"All Counties"	"Code Enforcement"	3	0	70729
"All Counties"	"Coroner"	1	8088	105251
"All Counties"	"County Counsel"	5	0	84425
"All Counties"	"County Library"	9	0	39348
"All Counties"	"District Attorney"	25	0	81065
"All Counties"	"Drug/Alcohol"	3	0	62752
"All Counties"	"Elections"	4	0	14786.5
"All Counties"	"Emergency Services"	1	9236	107233
"All Counties"	"Environmental Health"	8	0	65695
"All Counties"	"Facilities Maintenance"	12	0	33139.5
"All Counties"	"General Services Administration Motor Pool"	5	0	58099
"All Counties"	"General Services Administration Support Services"	6	0	43159.5
"All Counties"	"Health Department"	15	0	53609
"All Counties"	"Information Technology"	7	0	67343
"All Counties"	"Jail"	30	3181	62276
"All Counties"	"Local Community Correction"	4	767	62919.5
"All Counties"	"Mental Health"	27	0	44860
"All Counties"	"Narcotics Task Force"	1	0	26565
"All Counties"	"Personnel"	4	0	46927
"All Counties"	"Planning Department"	3	0	67631
"All Counties"	"Probation"	16	400.5	71763
"All Counties"	"Public Conservator"	2	351.5	63420
"All Counties"	"Public Works"	33	182	53112
"All Counties"	"Recorder"	5	0	48189
"All Counties"	"Records Management"	1	0	50807
"All Counties"	"Sheriff"	49	3487	78682
"All Counties"	"Sheriff (Court Bailiffs)"	11	0	23410
"All Counties"	"Sheriff Dispatching"	11	683	55057
"All Counties"	"Social Services"	49	30	40136
"All Counties"	"Surveying & Engineering"	3	0	81950
"All Counties"	"Treasurer-Tax Collector"	5	0	43846
"All Counties"	"Veterans Service Officer"	2	0	30253.5
"All Counties"	"Victim/Witness Program"	1	0	74139
"All Counties"	"Waste Management"	1	0	86754
"All Counties"	"Workmen's Compensation"	1	0	85114
"All Counties"	"Administration"	34	0	49909
"All Counties"	"Agriculture"	33	0	27342
"All Counties"	"Assessor"	53	0	37429
"All Counties"	"Auditor/Controller"	33	0	25672
"All Counties"	"Behavioral Health"	594	0	30395.5
"All Counties"	"Board of Supervisors"	14	0	39845
"All Counties"	"Child Support Services"	136	0	31111
"All Counties"	"Clerk-Recorder"	25	49	39876
"All Counties"	"County Counsel"	11	0	52196
"All Counties"	"Development Services"	37	0	42938
"All Counties"	"District Attorney"	128	0	41881
"All Counties"	"Employment and Social Services"	875	0	32558
"All Counties"	"Farm and Home Advisor"	7	0	16459
"All Counties"	"General Services"	71	0	36091
"All Counties"	"Human Resources"	31	0	31735
"All Counties"	"Information Systems"	30	0	67747.5
"All Counties"	"Library"	134	0	10464
"All Counties"	"Probation"	216	56.5	38881.5
"All Counties"	"Public Health"	187	0	37900
"All Counties"	"Public Works"	153	32	42928
"All Counties"	"Sheriff-Coroner"	343	3188	54951
"All Counties"	"Treasurer-Tax Collector"	44	0	18610
"All Counties"	"Water Services"	12	0	47263
"All Counties"	"Administration"	7	0	61012
"All Counties"	"Agriculture"	4	0	50909.5
"All Counties"	"Air Pollution"	1	0	43280
"All Counties"	"Airport"	2	0	34183.5
"All Counties"	"Animal Control"	12	0	15086
"All Counties"	"Assessor"	15	0	45474
"All Counties"	"Auditor/Controller"	11	0	48966
"All Counties"	"Behavioral Health Services"	47	0	34585
"All Counties"	"Board Of Supervisors"	7	0	49442
"All Counties"	"Building"	8	0	49511.5
"All Counties"	"Building And Grounds"	9	0	31489
"All Counties"	"Calmet"	3	7623	71385
"All Counties"	"Calworks & Human Services"	75	111	43706
"All Counties"	"Clerk"	3	0	33944
"All Counties"	"Cneu"	4	13180.5	78878
"All Counties"	"Code Compliance"	2	0	60016.5
"All Counties"	"Coroner"	1	0	62471
"All Counties"	"County Counsel"	8	0	67902.5
"All Counties"	"Dispatch"	17	3142	50059
"All Counties"	"District Attorney"	14	0	62090.5
"All Counties"	"Elections"	3	90	25960
"All Counties"	"Environmental Managt Agency"	9	0	53503
"All Counties"	"Equipment Service Center"	7	1247	39595
"All Counties"	"Gis"	2	0	67925.5
"All Counties"	"Human Resources"	7	0	48081
"All Counties"	"Integrated Waste Management"	17	191	43429
"All Counties"	"Jail"	31	2400	49324
"All Counties"	"Library"	12	0	11911.5
"All Counties"	"Literacy Program"	1	0	36987
"All Counties"	"Marine Safety"	2	15362.5	88214
"All Counties"	"Museum"	1	0	19982
"All Counties"	"Oes"	2	5611	63680.5
"All Counties"	"Onsite Wastewater"	2	0	57146
"All Counties"	"Planning"	12	0	44417
"All Counties"	"Probation"	27	0	31412
"All Counties"	"Public Access Tv"	6	0	7159.5
"All Counties"	"Public Authority Ihss"	2	0	59453
"All Counties"	"Public Health"	22	0	37812.5
"All Counties"	"Public Works Administration"	7	0	58080
"All Counties"	"Recorder"	4	0	40434
"All Counties"	"Roads & Bridges"	77	0	36776
"All Counties"	"Sheriff"	56	5273	68574
"All Counties"	"Substance Abuse"	11	0	36295
"All Counties"	"Technology Services"	14	0	35017.5
"All Counties"	"Treasurer/Tax Collector"	6	0	39821.5
"All Counties"	"Victim/Witness Program"	1	0	48532
"All Counties"	"AG Admin Services"	5	0	47343
"All Counties"	"AG Commissioner"	9	0	46390
"All Counties"	"Air Pollution"	3	761	50397
"All Counties"	"Animal Control"	5	0	7096
"All Counties"	"Assessor"	12	0	46976
"All Counties"	"Auditor/Controller"	13	87	43683
"All Counties"	"Behavioral Health Admin"	5	0	90482
"All Counties"	"Board of Supervisors"	5	0	41553
"All Counties"	"Boating"	2	4735.5	52494.5
"All Counties"	"Central Services"	2	0	27142.5
"All Counties"	"Child Support"	7	531	43696
"All Counties"	"Clerk/Recorder"	8	342	47910
"All Counties"	"Communications"	9	760	49684
"All Counties"	"Cooperative Extension"	3	0	46272
"All Counties"	"Coroner"	1	2431	68092
"All Counties"	"County Counsel"	4	0	61341.5
"All Counties"	"Court Bailiff"	3	77	54401
"All Counties"	"Custodians"	4	0	24018.5
"All Counties"	"District Attorney"	11	0	64743
"All Counties"	"Drug Enforcement"	3	6553	81985
"All Counties"	"Edhs Admin"	9	0	51108
"All Counties"	"Elections"	1	0	100
"All Counties"	"Environmental Health"	6	119.5	55503.5
"All Counties"	"Health"	15	0	41763
"All Counties"	"Insurance"	2	0	55411.5
"All Counties"	"IT"	3	0	64095
"All Counties"	"Jail"	19	1152	59887
"All Counties"	"Library"	18	0	9424
"All Counties"	"Maintenance"	4	0	26842
"All Counties"	"Mental Health"	50	0	44272
"All Counties"	"Migrant Housing"	4	0	33404
"All Counties"	"Owes"	1	4316	60156
"All Counties"	"Personnel"	7	0	13238
"All Counties"	"Planning & Building"	8	0	52068
"All Counties"	"Probation"	26	237	46560
"All Counties"	"Public Works"	34	0	48336.5
"All Counties"	"Revenue & Recovery"	1	0	55827
"All Counties"	"Senior Nutrition"	2	82	12444
"All Counties"	"Sheriff"	34	2400.5	73968.5
"All Counties"	"Sheriff-Indian Gaming"	2	945	38688.5
"All Counties"	"Solid Waste"	2	1236.5	15728
"All Counties"	"Substance Abuse"	2	1074	46259
"All Counties"	"Surveyor"	1	0	9897
"All Counties"	"Transit"	15	0	44304
"All Counties"	"Treasurer"	5	0	50508
"All Counties"	"Veteran's Services"	1	0	55549
"All Counties"	"Victim Witness"	1	0	59520
"All Counties"	"Welfare"	45	573	42579
"All Counties"	"Agriculture-Weights/Meas"	54	530	33526.5
"All Counties"	"Airport Operations"	16	5887	49917.5
"All Counties"	"Alcohol & Other Drugs Svc"	29	491	54654
"All Counties"	"Animal Services"	102	728.5	36629.5
"All Counties"	"Assessor"	123	381	51433
"All Counties"	"Auditor - Controller"	52	376	52898
"All Counties"	"Building Maintenance"	196	4227.5	41679
"All Counties"	"Cal Hlth Bnft Marketplace"	165	184	12639
"All Counties"	"CCC Dept Child Spprt Svcs"	177	274	46973
"All Counties"	"Ccc Fire Protection District"	330	29660.5	125895.5
"All Counties"	"Child Development"	106	69.5	27996
"All Counties"	"Clerk Of The Board"	7	0	36875
"All Counties"	"Comm Coll Child Dev"	4	3	26124
"All Counties"	"Community Services"	363	65	21091
"All Counties"	"Conservation And Development"	170	183	57789.5
"All Counties"	"Contra Costa Health Plan"	224	1445.5	42244.5
"All Counties"	"County Administrator"	22	0	79173
"All Counties"	"County Counsel"	50	10.5	100651.5
"All Counties"	"D A Revenue Narcotics"	1	396	48006
"All Counties"	"D A Welfare Fraud"	1	0	127139
"All Counties"	"Department Of Supervisors"	37	0	64621
"All Counties"	"District Attorney"	223	1147	70582
"All Counties"	"EHSD-Administrative Svcs"	191	1297	56063
"All Counties"	"Ehsd-Adult & Aging Svcs"	220	927	45760.5
"All Counties"	"EHSD-Child & Family Svcs"	311	1151	55854
"All Counties"	"EHSD-Workforce Services"	995	1363.5	42525
"All Counties"	"EHSD WFRC Investment Brd"	143	591	6477
"All Counties"	"Elections"	55	434.5	37538
"All Counties"	"Emergency Services"	28	3482.5	72611
"All Counties"	"General Services Admin"	1	0	9020
"All Counties"	"Health Svcs-Environ Hlth"	100	1383	81817.5
"All Counties"	"Health Svcs-Public Health"	409	237	45333
"All Counties"	"Health Svcs Consv/Guard"	24	191.5	48049
"All Counties"	"Hlth Svcs-Calif Child Svcs"	66	75.5	51271.5
"All Counties"	"Hlth Svcs-Detentn Inmates"	115	2297	64347
"All Counties"	"Hlth Svcs-Hospital Entrprs"	2944	1025	48823.5
"All Counties"	"Hlth Svcs Homeless Program"	10	322	35437.5
"All Counties"	"Hlth Svcs Mentl Hlth"	516	433	49317.5
"All Counties"	"Human Resources"	44	290	43956.5
"All Counties"	"Information Technology"	59	233.5	67604
"All Counties"	"ISF Fleet Services"	19	1399.5	49624
"All Counties"	"Law & Justice Systems Dev"	2	0	76530
"All Counties"	"Library-Admin & Supp Svcs"	126	180	27710.5
"All Counties"	"Library-Community Svcs"	325	261	8259
"All Counties"	"Long Term Disablty Ins Tr"	12	0	22102.5
"All Counties"	"Npp"	2	0	63989.5
"All Counties"	"Personnel Merit Board"	5	0	450
"All Counties"	"Print & Mail Svcs"	21	804	35439
"All Counties"	"Prisoners Welfare"	9	0	18367
"All Counties"	"Probation Facilities"	214	5776	53978
"All Counties"	"Probation Programs"	191	1159	68502
"All Counties"	"Public Administrator"	2	0	73823
"All Counties"	"Public Defender"	126	773	61660.5
"All Counties"	"Public Works"	265	860	54918
"All Counties"	"Purchasing"	6	0	67848
"All Counties"	"Recorder"	41	90.5	40702
"All Counties"	"Recorder Micro/Modernzatn"	10	18	42004
"All Counties"	"Retirement Payroll"	58	463	51873.5
"All Counties"	"Risk Management"	31	0	59879
"All Counties"	"Serv Area Em-1 Zone B"	8	0	80479
"All Counties"	"Sheriff"	473	9760.5	81460
"All Counties"	"Sheriff Coroner"	8	15665	100570
"All Counties"	"Sheriff Detention"	408	10722	75644
"All Counties"	"Sheriff Law Enforce Trng Centr"	38	835.5	4578.5
"All Counties"	"Sheriff Pol Area 5 Rnd Hill"	2	54534	142880.5
"All Counties"	"Sheriff Police Services"	216	8817	90015
"All Counties"	"Sheriff Serv Area P-2 Zone A"	2	36138	131229.5
"All Counties"	"Sheriff Serv Area P-2 Zone B"	1	6226	92547
"All Counties"	"Telecommunications"	22	11690	76252
"All Counties"	"Treasurer-Tax Collector"	31	198	50466
"All Counties"	"Trial Court Programs"	4	0	10458.5
"All Counties"	"Veterans Service Office"	9	48	40147
"All Counties"	"Zero Tolerance-Dom Violence"	1	0	74700
"All Counties"	"Administration"	9	0	37302
"All Counties"	"Agriculture"	5	0	39781
"All Counties"	"Animal Control"	1	1509	23034
"All Counties"	"Assessor"	8	0	45441.5
"All Counties"	"Auditor"	7	0	49097
"All Counties"	"Bar-O"	13	1702	36597
"All Counties"	"Board of Supervisors"	5	0	37262
"All Counties"	"Boating"	2	935.5	35985.5
"All Counties"	"Building Inspection"	2	0	46124.5
"All Counties"	"Building Maintenance"	13	0	25935
"All Counties"	"Chat"	1	0	33907
"All Counties"	"Child Support Services"	22	0	30048.5
"All Counties"	"Clerk Recorder"	4	26.5	31911
"All Counties"	"Community Development"	6	0	32506.5
"All Counties"	"Coroner"	1	0	41216
"All Counties"	"County Counsel"	3	0	64683
"All Counties"	"District Attorney"	13	0	36173
"All Counties"	"Drug and Alcohol"	9	0	22174
"All Counties"	"Education Culture"	1	0	15742
"All Counties"	"Elections"	1	0	11673
"All Counties"	"Engineering"	3	0	43274
"All Counties"	"Environmental Health"	2	0	55562.5
"All Counties"	"Health"	13	0	32277
"All Counties"	"Information Technology"	8	0	51905.5
"All Counties"	"Jail"	29	1229	36335
"All Counties"	"Juvenile Hall"	15	3882	33925
"All Counties"	"Mental Health"	9	0	31804
"All Counties"	"Mental Health-LPS"	2	8.5	18493.5
"All Counties"	"Mental Health Services Act"	20	0	36272.5
"All Counties"	"OES"	1	2490	54029
"All Counties"	"Parks"	1	0	25935
"All Counties"	"Planning"	1	0	51351
"All Counties"	"Probation"	23	501	38722
"All Counties"	"Public Nuisance"	1	0	45438
"All Counties"	"Recreation"	1	0	40235
"All Counties"	"Roads"	17	335	37440
"All Counties"	"Sheriff"	32	2922	50416
"All Counties"	"Treasurer"	4	0	55124.5
"All Counties"	"TUPP"	3	0	23753
"All Counties"	"Veterans Services"	2	0	28556
"All Counties"	"Victim Witness"	1	0	50096
"All Counties"	"Welfare Admin"	107	0	34757
"All Counties"	"Agriculture"	16	0	48709.5
"All Counties"	"Air Quality Management"	7	563	59682
"All Counties"	"Assessor"	39	0	49549
"All Counties"	"Auditor Controller"	27	0	52876
"All Counties"	"Board of Supervisors"	18	0	51584.5
"All Counties"	"Chief Administration"	80	0	40839
"All Counties"	"Child Support Services"	69	77	40362
"All Counties"	"Community Development Agency - Development Services"	99	139	53320
"All Counties"	"Community Development Agency - Environmental Management"	38	87.5	42562
"All Counties"	"Community Development Agency - Transportation"	187	1193	50907
"All Counties"	"County Counsel"	22	0	61315.5
"All Counties"	"District Attorney"	75	0	59118
"All Counties"	"Health And Human Services"	62	279.5	54524
"All Counties"	"Health And Human Services - Community Services"	106	0	28907.5
"All Counties"	"Health And Human Services - Mental Health"	139	0	20846
"All Counties"	"Health And Human Services - Public Health"	89	0	40618
"All Counties"	"Health And Human Services - Social Services"	281	1004	31717
"All Counties"	"Human Resources"	17	0	47978
"All Counties"	"Information Technologies"	43	18	73016
"All Counties"	"Library"	82	0	10051
"All Counties"	"Probation"	157	643	46821
"All Counties"	"Public Defender"	26	0	96335
"All Counties"	"Recorder Clerk"	22	0	29653
"All Counties"	"Recorder Clerk Elections"	28	0	1565
"All Counties"	"Sheriffs Department"	428	2213	57981
"All Counties"	"Surveyor"	12	0	80098
"All Counties"	"Treasurer Tax Collector"	28	0	41225.5
"All Counties"	"Veterans Services"	6	7	29364
"All Counties"	"Water Agency"	5	23	78044
"All Counties"	"Assessor-Recorder"	118	0	46254
"All Counties"	"Auditor-Controller/Treasurer-Tax Collector"	104	0	39271
"All Counties"	"Behavioral Health"	504	0	45942
"All Counties"	"Board of Supervisors"	22	0	49612
"All Counties"	"Cooperative Extension"	3	0	25868
"All Counties"	"Coroner-Public Administration/Guardian"	21	0	46696
"All Counties"	"County Administrative Office"	13	0	67522
"All Counties"	"County Clerk - Elections"	95	285	2343
"All Counties"	"County Counsel"	34	0	66877.5
"All Counties"	"Department of Agriculture"	143	185	34601
"All Counties"	"Department of Personnel Services"	28	0	44486
"All Counties"	"Department of Public Health"	542	0	44894
"All Counties"	"Department of Social Services"	2371	330	41103
"All Counties"	"Dept of Child Support Services"	215	11	43012
"All Counties"	"District Attorney"	307	0	47454
"All Counties"	"IHSS - Public Authority"	7	0	33342
"All Counties"	"Internal Services Department"	107	13	72670
"All Counties"	"Internal Services Department-Radio Operations"	4	7146	63899.5
"All Counties"	"Internal Services Department -  Facility Services"	112	241	29422.5
"All Counties"	"Internal Services Department -  Fleet Services"	35	0	40267
"All Counties"	"Internal Services Department -  Graphic Comm Service"	17	0	30089
"All Counties"	"Internal Services Department -  Purchasing"	14	0	37402.5
"All Counties"	"Internal Services Department - Telecommunications"	4	80	42209.5
"All Counties"	"LAFCO Support"	2	0	50726
"All Counties"	"Library"	1	0	121960
"All Counties"	"Library Measure B"	310	0	30785.5
"All Counties"	"PeopleSoft Operations"	2	5320	71957.5
"All Counties"	"Personnel Services-Risk Management"	32	0	46393
"All Counties"	"Planning-Parks and Grounds"	61	108	8249
"All Counties"	"Probation"	278	616.5	47622.5
"All Counties"	"Probation-Juvenile Justice Campus"	319	5134	54961
"All Counties"	"Public Defender"	97	0	63902
"All Counties"	"Public Works & Planning- Roads"	212	0	46117.5
"All Counties"	"Public Works and Planning"	78	0	56706
"All Counties"	"Public Works and Planning-American Ave Disposal"	30	1444	29593
"All Counties"	"Public Works and Planning-Community Development"	13	0	64740
"All Counties"	"Public Works And Planning-Neighborhood Stabilization Program"	2	0	26205
"All Counties"	"Public Works and Planning-Resources"	20	0	60738
"All Counties"	"Public Worls And Planning-Special Districts Administration"	19	45	54063
"All Counties"	"Retirement Association"	29	0	40792
"All Counties"	"Security Services"	75	238	25669
"All Counties"	"Sheriff"	1133	6749	68965
"All Counties"	"Veterans' Service Officer"	5	0	38584
"All Counties"	"Agriculture Department"	13	0	54528
"All Counties"	"Air Pollution Control"	6	0	47776.5
"All Counties"	"Airport"	1	0	42078
"All Counties"	"Alcohol And Drug Abuse Services"	9	0	41908
"All Counties"	"Animal Control"	3	3329	46550
"All Counties"	"Assessor"	9	0	52157
"All Counties"	"Board of Supervisors"	5	0	31803
"All Counties"	"Building Inspector"	2	0	23729
"All Counties"	"California Children's Services"	1	35	48587
"All Counties"	"Child Support Services"	9	480	37659
"All Counties"	"Civil Division"	1	12754	59899
"All Counties"	"Clerk of the Board"	3	0	50775
"All Counties"	"Community Service Action"	32	0	34174.5
"All Counties"	"Cooperative Extension"	7	0	1531
"All Counties"	"Cops In Schools Grant"	1	10239	72489
"All Counties"	"Cops Universal Hiring Grant"	3	16993	79235
"All Counties"	"County Counsel"	2	0	73286
"All Counties"	"Delinquency Prevention"	1	0	12578
"All Counties"	"Department of Finance"	9	0	44349
"All Counties"	"Dispatch"	11	223	6381
"All Counties"	"District Attorney"	10	0	31732
"All Counties"	"District Attorney-Vertical Prosecution"	2	0	10963.5
"All Counties"	"Elections"	27	0	120
"All Counties"	"Facilities"	11	0	35840
"All Counties"	"Fleet Operations"	4	0	43845
"All Counties"	"Health And Human Services Administration"	4	0	102323
"All Counties"	"Health Services"	9	0	55792
"All Counties"	"Human Resource Agency"	23	0	31787
"All Counties"	"Jail"	29	4666	40431
"All Counties"	"JJCPA Grant"	1	0	49607
"All Counties"	"Juvenile Hall"	16	6105.5	38707.5
"All Counties"	"Juvenile Probation And Camps Funding"	1	11897	66809
"All Counties"	"Local Community Corrections"	6	2974	59041.5
"All Counties"	"Mental Health"	53	120	35859
"All Counties"	"Partnership Grant"	1	0	1293
"All Counties"	"Personnel"	3	0	51476
"All Counties"	"Planning Department"	4	0	52039.5
"All Counties"	"Probation"	5	0	57783
"All Counties"	"Public Guardian"	2	0	56951.5
"All Counties"	"Public Health"	18	0	55141
"All Counties"	"Public Works"	13	0	34063
"All Counties"	"Recorder"	3	0	54600
"All Counties"	"Road Department"	21	238	38834
"All Counties"	"Road Engineers"	2	0	52723
"All Counties"	"Road Shop"	4	2075.5	44851
"All Counties"	"Sb678 Community Performance Incentive"	2	0	35642
"All Counties"	"Sheriff"	25	1794	70844
"All Counties"	"Slesf"	1	0	13055
"All Counties"	"Social Services"	78	0	38549.5
"All Counties"	"Solid Waste"	7	452	41303
"All Counties"	"Special Investigations Tament Grant"	2	5616	47622.5
"All Counties"	"Trial Court Security"	5	155	19855
"All Counties"	"Veteran's Services Department"	1	0	37706
"All Counties"	"Women, Infants And Children"	5	0	49587
"All Counties"	"Youth Offender Intensive Supervision Program"	2	0	47018.5
"All Counties"	"Administration"	48	0	50342.5
"All Counties"	"Advanced Planning Department"	5	0	68897
"All Counties"	"Agricultural Commissioner"	9	0	53030
"All Counties"	"Airport Security"	11	0	24190
